year,africa_share_percent,asia_share_percent,europe_share_percent,north_america_share_percent,south_america_share_percent,oceania_share_percent
1950,11.85,62.13,13.27,7.18,5.20,0.38
1951,12.04,61.90,13.06,7.32,5.30,0.39
1952,11.71,63.23,12.39,7.12,5.17,0.38
1953,11.99,62.71,12.34,7.25,5.31,0.39
1954,11.90,63.16,12.03,7.24,5.29,0.38
1955,11.98,63.21,11.88,7.21,5.34,0.38
1956,12.24,62.65,11.86,7.39,5.47,0.39
1957,12.00,63.53,11.47,7.25,5.37,0.39
1958,12.42,62.55,11.61,7.47,5.56,0.40
1959,13.01,61.01,12.00,7.74,5.82,0.42
1960,13.26,60.68,11.91,7.81,5.91,0.42
1961,13.76,59.73,11.96,8.01,6.10,0.44
1962,12.70,63.61,10.51,7.19,5.58,0.40
1963,12.14,65.70,9.75,6.73,5.30,0.37
1964,12.68,64.83,9.78,6.88,5.45,0.38
1965,12.90,65.16,9.43,6.69,5.45,0.37
1966,13.28,64.86,9.36,6.62,5.49,0.38
1967,13.64,64.47,9.40,6.59,5.52,0.39
1968,13.40,65.68,8.86,6.36,5.31,0.38
1969,13.69,65.35,8.74,6.49,5.34,0.39
1970,13.82,65.41,8.52,6.55,5.31,0.39
1971,14.22,64.89,8.61,6.46,5.39,0.42
1972,14.59,64.75,8.53,6.25,5.46,0.41
1973,14.94,64.58,8.37,6.18,5.54,0.40
1974,15.45,63.74,8.52,6.26,5.64,0.40
1975,16.09,62.84,8.52,6.34,5.81,0.39
1976,16.47,62.41,8.48,6.36,5.90,0.38
1977,16.97,61.65,8.45,6.53,6.02,0.38
1978,17.21,61.57,8.32,6.49,6.04,0.38
1979,17.28,61.78,8.14,6.46,5.98,0.37
1980,17.38,61.90,8.01,6.41,5.93,0.36
1981,17.48,62.15,7.79,6.33,5.89,0.37
1982,17.46,62.53,7.63,6.24,5.77,0.36
1983,18.07,61.65,7.74,6.31,5.85,0.37
1984,18.09,62.03,7.53,6.24,5.75,0.37
1985,18.19,62.21,7.35,6.22,5.66,0.37
1986,18.13,62.58,7.27,6.11,5.55,0.36
1987,18.19,62.80,7.13,6.06,5.45,0.36
1988,18.56,62.42,7.04,6.15,5.45,0.37
1989,18.69,62.60,6.74,6.20,5.40,0.37
1990,18.81,62.73,6.52,6.22,5.33,0.38
1991,19.85,61.34,6.48,6.42,5.52,0.39
1992,20.42,60.89,6.27,6.46,5.55,0.40
1993,20.90,60.66,5.99,6.45,5.60,0.41
1994,21.24,60.46,5.86,6.42,5.61,0.41
1995,21.75,60.14,5.72,6.37,5.62,0.41
1996,22.21,59.75,5.67,6.35,5.61,0.41
1997,22.61,59.42,5.61,6.33,5.61,0.42
1998,23.03,59.06,5.55,6.34,5.60,0.42
1999,23.51,58.76,5.43,6.34,5.54,0.42
2000,23.69,58.79,5.39,6.31,5.40,0.42
2001,24.24,58.35,5.36,6.29,5.33,0.42
