year,africa_births,world_births,africa_share_percent
1950,10878552,91823940,11.85
1951,11138512,92507130,12.04
1952,11398578,97371460,11.71
1953,11669184,97291460,11.99
1954,11924005,100187860,11.90
1955,12185525,101747970,11.98
1956,12452579,101759016,12.24
1957,12725158,106017736,12.00
1958,12997770,104644160,12.42
1959,13271432,101999840,13.01
1960,13574660,102378080,13.26
1961,13890989,100950940,13.76
1962,14224913,112038710,12.70
1963,14549406,119802890,12.14
1964,14873522,117292200,12.68
1965,15200799,117837010,12.90
1966,15573959,117232950,13.28
1967,15945667,116920264,13.64
1968,16330531,121825890,13.40
1969,16733069,122227970,13.69
1970,17149968,124135900,13.82
1971,17599822,123739680,14.22
1972,18030480,123554020,14.59
1973,18462556,123563930,14.94
1974,18959738,122709410,15.45
1975,19476172,121030100,16.09
1976,19987202,121322350,16.47
1977,20493576,120786520,16.97
1978,21016844,122140650,17.21
1979,21600688,125000296,17.28
1980,22153368,127446984,17.38
1981,22677104,129715840,17.48
1982,23258568,133206504,17.46
1983,23852386,131967710,18.07
1984,24307372,134365260,18.09
1985,24811274,136373950,18.19
1986,25251252,139301170,18.13
1987,25715320,141346560,18.19
1988,26172016,140985950,18.56
1989,26590804,142249020,18.69
1990,26988120,143461420,18.81
1991,27451828,138306860,19.85
1992,27889408,136591250,20.42
1993,28346972,135632140,20.90
1994,28708448,135142910,21.24
1995,29327232,134850050,21.75
1996,29829712,134321020,22.21
1997,30300012,133985670,22.61
1998,30826048,133857530,23.03
1999,31510798,134058670,23.51
2000,32158304,135758480,23.69
2001,32815224,135380000,24.24
2002,33443536,135396480,24.70
2003,34164900,135700800,25.18
2004,34946948,136596320,25.58
2005,35809370,137166460,26.11
2006,36596950,138469300,26.43
2007,37359280,139935790,26.70
2008,38223064,141758720,26.96
2009,38935476,142968320,27.23
2010,39685496,143354240,27.68
2011,40356070,143878780,28.05
2012,41002056,146054880,28.07
2013,41586184,145014780,28.68
2014,42195584,145268260,29.05
2015,42660664,144333950,29.56
2016,42958892,144854100,29.66
2017,43403064,143601810,30.22
2018,43626292,140332740,31.09
2019,43965816,138596780,31.72
2020,44373664,134719620,32.94
2021,44892540,133448840,33.64
2022,45469224,132475390,34.32
2023,46063880,132110264,34.87
2024,46621056,132405930,35.21
2025,47080240,132399176,35.56
2026,47561896,132503470,35.89
2027,48018490,132590970,36.22
2028,48489424,132761180,36.52
2029,48963908,132988660,36.82
2030,49389692,133256400,37.06
2031,49826344,133513400,37.32
2032,50224372,133764790,37.55
2033,50631760,134065210,37.77
2034,51030400,134381010,37.97
2035,51392188,134669250,38.16
2036,51766212,134945600,38.36
2037,52072844,135141000,38.53
2038,52437668,135355310,38.74
2039,52783796,135515310,38.95
2040,53108816,135669000,39.15
2041,53385656,135672670,39.35
2042,53669532,135635920,39.57
2043,53936976,135580930,39.78
2044,54175748,135406660,40.01
2045,54364216,135108930,40.24
2046,54587404,134763860,40.51
2047,54770228,134270880,40.79
2048,54949892,133752120,41.08
2049,55107480,133163336,41.38
2050,55261304,132555180,41.69
2051,55412092,131922870,42.00
2052,55567852,131280340,42.33
2053,55682070,130666630,42.61
2054,55786308,130019576,42.91
2055,55888612,129484560,43.16
2056,55983640,128994830,43.40
2057,56077660,128530510,43.63
2058,56180810,128109976,43.85
2059,56265170,127754770,44.04
2060,56336148,127431150,44.21
2061,56397412,127116970,44.37
2062,56440560,126876440,44.48
2063,56462560,126634990,44.59
2064,56481064,126429590,44.67
2065,56499980,126218350,44.76
2066,56526184,126019440,44.86
2067,56538320,125793030,44.95
2068,56535030,125546776,45.03
2069,56519684,125259600,45.12
2070,56489324,124986376,45.20
2071,56464504,124696340,45.28
2072,56422504,124348330,45.37
2073,56377610,123982000,45.47
2074,56307684,123572750,45.57
2075,56236268,123139810,45.67
2076,56164944,122692720,45.78
2077,56078150,122209340,45.89
2078,55976692,121660490,46.01
2079,55879230,121106664,46.14
2080,55770350,120554860,46.26
2081,55663532,119954950,46.40
2082,55581092,119411970,46.55
2083,55464852,118804110,46.69
2084,55357584,118220260,46.83
2085,55229110,117622290,46.95
2086,55092000,117028430,47.08
2087,54958044,116442240,47.20
2088,54827144,115886480,47.31
2089,54678964,115345020,47.40
2090,54519416,114804560,47.49
2091,54374320,114283304,47.58
2092,54206910,113772580,47.64
2093,54049924,113262380,47.72
2094,53893576,112772536,47.79
2095,53718696,112282190,47.84
2096,53548492,111830664,47.88
2097,53375196,111397100,47.91
2098,53205576,110941160,47.96
2099,53017708,110500810,47.98
2100,52836670,110028470,48.02
