period,period_order,year,quarter,country_mean,country_median,p25,p75,country_count
2011_1Q,20111,2011,1,13.486771961217055,14.808920454545454,9.66345,17.943125,22
2011_3Q,20113,2011,3,12.464093562653034,12.104999999999999,9.438928571428571,14.293333333333335,25
2012_1Q,20121,2012,1,12.652825410504528,12.29529411764706,9.50214705882353,14.881111111111112,25
2012_3Q,20123,2012,3,12.867691225029336,12.090073232323231,9.36505303030303,15.624706101190476,26
2013_1Q,20131,2013,1,12.784240193116965,12.089,9.976545765929977,15.444561237373737,27
2013_2Q,20132,2013,2,13.150729990930154,11.701333333333334,9.879285714285714,15.770131313131314,27
2013_3Q,20133,2013,3,12.575393448024453,11.161,10.015882352941176,15.796000000000001,27
2013_4Q,20134,2013,4,12.245791766992303,11.8,9.067321428571429,14.861102904040404,27
2014_1Q,20141,2014,1,12.270105901285497,11.481666666666667,9.360934065934066,14.629323593073595,27
2014_2Q,20142,2014,2,11.911307204344515,11.370555555555555,8.517270923520925,14.651347673160174,27
2014_3Q,20143,2014,3,11.72689794217767,10.448095376845377,8.642619047619048,13.789627705627705,27
2014_4Q,20144,2014,4,11.676766160965235,10.254999999999999,8.839898989898991,14.226101641414141,27
2015_1Q,20151,2015,1,10.694530133618096,9.44761507936508,8.228542938542937,13.583676948051949,27
2015_2Q,20152,2015,2,10.32953485613549,9.225166666666667,7.814842032967033,12.542172438672438,27
2015_3Q,20153,2015,3,10.033411779821868,9.363,7.433031746031746,12.994626262626262,27
2015_4Q,20154,2015,4,10.463406346807027,8.725019230769231,6.288978174603174,13.692785984848484,30
2016_1Q,20161,2016,1,10.367149481988701,9.326294871794872,6.655323734301413,13.079627525252526,30
2016_2Q,20162,2016,2,10.524881288564377,9.291121031746032,7.237382936507936,13.355520833333333,34
2016_3Q,20163,2016,3,10.436718771456661,8.67275,7.202947916666666,13.615756944444446,34
2016_4Q,20164,2016,4,10.913851650062421,9.182097222222222,7.058821428571428,14.164467948717949,34
2017_1Q,20171,2017,1,11.623152931477565,10.230562500000001,7.7973375,13.860958333333333,34
2017_2Q,20172,2017,2,11.009913697722565,9.725430555555555,7.546409432234432,13.099038461538461,34
2017_3Q,20173,2017,3,10.64599362279877,9.769333333333334,7.432658333333333,13.057000992063493,34
2017_4Q,20174,2017,4,10.641358333510508,9.345083333333335,7.657195614035088,14.096335227272727,34
2018_1Q,20181,2018,1,10.367438771540199,9.13047719845514,7.353770129870131,12.458238095238094,34
2018_2Q,20182,2018,2,10.253700782363541,9.055810897435897,7.179122741841491,12.48911507936508,34
2018_3Q,20183,2018,3,10.137526735838339,9.131611111111113,7.394524806892454,12.573125000000001,34
2018_4Q,20184,2018,4,10.144626678339229,9.008364357864357,7.434009018759019,12.35077642659628,34
2019_1Q,20191,2019,1,10.25777724606428,9.144360900673401,7.322121753246753,12.71069493006993,34
2019_2Q,20192,2019,2,10.170756130612187,9.222173374830174,7.7358116883116885,12.42125,34
2019_3Q,20193,2019,3,10.048051296223427,8.937518869248038,7.876041666666667,12.667853899572652,34
2019_4Q,20194,2019,4,10.637318085828685,9.54008547008547,7.814727555532703,12.621517857142857,34
2020_1Q,20201,2020,1,9.642310684169066,8.66531746031746,7.051428996983408,11.69140625,34
2020_2Q,20202,2020,2,9.551892337889099,8.475377056277056,7.1332045454545465,10.65220724587912,34
2020_3Q,20203,2020,3,9.797232021892974,8.738251515151514,7.681190476190477,10.166364182692309,34
2020_4Q,20204,2020,4,9.723047943182847,8.612904761904762,7.330429067460319,9.829807224025974,34
2021_1Q,20211,2021,1,9.542741815055889,8.355705128205129,6.393761904761904,10.478834719202368,34
2021_2Q,20212,2021,2,9.936280972002999,8.681999999999999,7.1294047619047625,12.267186234817814,33
2021_3Q,20213,2021,3,9.665663631323039,8.36875,7.155388657916158,11.808559523809524,33
2021_4Q,20214,2021,4,9.363166071717782,8.018749999999999,6.22,11.783855472013368,33
2022_1Q,20221,2022,1,9.74804694731716,8.395119047619048,6.315577191700479,11.255622215260374,33
2022_2Q,20222,2022,2,9.781949993102288,8.36602564102564,6.20888888888889,11.211256038647342,33
2022_3Q,20223,2022,3,10.663274654589173,8.462777777777779,6.222105263157895,12.991428571428571,33
2022_4Q,20224,2022,4,10.10747430812994,8.0870254249966,6.187098039215686,11.955601731601732,33
2023_1Q,20231,2023,1,10.605757098520005,8.080555555555556,5.714052706552707,12.533940476190477,33
2023_2Q,20232,2023,2,10.535972422752081,8.222954545454545,6.0200000000000005,12.157741935483871,33
2023_3Q,20233,2023,3,8.956492447179961,7.906519607843137,6.071,11.274999999999999,33
2023_4Q,20234,2023,4,9.465346557256936,7.831428571428571,6.032980769230769,12.713917467948718,33
2024_1Q,20241,2024,1,9.364835834496496,7.61078431372549,5.818534533935849,13.769631535131532,33
2024_2Q,20242,2024,2,9.955562861140864,8.005555555555555,6.349,14.308074797160245,33
2024_3Q,20243,2024,3,10.041559708015894,7.461835294117647,6.279794444444445,14.670000000000002,33
2024_4Q,20244,2024,4,9.511216307607489,7.345325077399381,5.682631578947368,11.653333333333332,33
2025_1Q,20251,2025,1,9.980289497217836,6.938571428571429,5.741219214119214,11.455555555555556,33
